,club,squad,avgAge,foreigners,avg_market_value,total_market_value,year,tournament,period
8,Club León FC,37.0,26.8,14,1.28m,47.25m,2021,Clausura,2021/2022
9,Deportivo Toluca,43.0,26.0,14,1.06m,45.70m,2021,Clausura,2021/2022
10,Club Necaxa,46.0,24.8,18,911k,41.90m,2021,Clausura,2021/2022
11,Club Tijuana,41.0,25.1,16,983k,40.30m,2021,Clausura,2021/2022
12,Atlético de San Luis,39.0,25.5,17,968k,37.75m,2021,Clausura,2021/2022
13,FC Juárez,46.0,26.9,19,810k,37.28m,2021,Clausura,2021/2022
14,UNAM Pumas,42.0,24.6,11,885k,37.15m,2021,Clausura,2021/2022
15,Puebla FC,35.0,25.7,12,950k,33.25m,2021,Clausura,2021/2022
16,Mazatlán FC,37.0,26.4,12,784k,29.00m,2021,Clausura,2021/2022
17,Querétaro FC,45.0,27.6,18,612k,27.53m,2021,Clausura,2021/2022
0,CF Monterrey,39.0,25.2,12,2.34m,91.10m,2020,Apertura,2020/2021
1,CF América,42.0,25.7,15,2.03m,85.30m,2020,Apertura,2020/2021
2,Tigres UANL,38.0,25.9,13,2.10m,79.70m,2020,Apertura,2020/2021
3,CD Cruz Azul,43.0,25.7,15,1.76m,75.50m,2020,Apertura,2020/2021
4,Santos Laguna,42.0,24.5,13,1.79m,75.05m,2020,Apertura,2020/2021
5,Deportivo Guadalajara,39.0,25.5,0,1.64m,64.10m,2020,Apertura,2020/2021
6,Club León FC,47.0,25.5,15,1.35m,63.30m,2020,Apertura,2020/2021
7,Club Tijuana,46.0,25.0,21,1.19m,54.90m,2020,Apertura,2020/2021
8,UNAM Pumas,49.0,24.3,14,1.06m,52.10m,2020,Apertura,2020/2021
9,Atlas Guadalajara,41.0,25.2,12,1.17m,48.10m,2020,Apertura,2020/2021
10,CF Pachuca,45.0,25.0,15,1.02m,45.80m,2020,Apertura,2020/2021
11,Atlético de San Luis,45.0,25.8,19,896k,40.30m,2020,Apertura,2020/2021
12,Deportivo Toluca,38.0,26.5,13,950k,36.10m,2020,Apertura,2020/2021
13,Mazatlán FC,42.0,26.6,13,810k,34.00m,2020,Apertura,2020/2021
14,Puebla FC,43.0,26.3,17,765k,32.88m,2020,Apertura,2020/2021
